No,wc_induk,nama_wc_induk,workcenter,nama_workcenter,kode_laravel,plant
46,WC752,CGD PAINTING GROUP B1,WC452,CGD PAINTING B8,3015,3000
47,WC752,CGD PAINTING GROUP B1,WC863,CGD PAINTING B9,3015,3000
48,WC752,CGD PAINTING GROUP B1,WC864,CGD PAINTING B10,3015,3000
49,WC752,CGD PAINTING GROUP B1,WC865,CGD PAINTING B11,3015,3000
50,WC752,CGD PAINTING GROUP B1,WC866,CGD PAINTING B12,3015,3000
51,WC752,CGD PAINTING GROUP B1,WC867,CGD PAINTING B13,3015,3000
52,WC752,CGD PAINTING GROUP B1,WC264,CGD PAINTING A4,3015,3000
53,WC753,CGD PAINTING GROUP C1,WC444,CGD PAINTING A13,3015,3000
54,WC753,CGD PAINTING GROUP C1,WC457,CGD PAINTING C5,3015,3000
55,WC753,CGD PAINTING GROUP C1,WC458,CGD PAINTING C6,3015,3000
56,WC753,CGD PAINTING GROUP C1,WC459,CGD PAINTING C7,3015,3000
57,WC753,CGD PAINTING GROUP C1,WC460,CGD PAINTING C8,3015,3000
58,WC753,CGD PAINTING GROUP C1,WC461,CGD PAINTING C9,3015,3000
59,WC753,CGD PAINTING GROUP C1,WC462,CGD PAINTING C10,3015,3000
60,WC753,CGD PAINTING GROUP C1,WC453,CGD PAINTING C1,3015,3000
61,WC753,CGD PAINTING GROUP C1,WC454,CGD PAINTING C2,3015,3000
62,WC753,CGD PAINTING GROUP C1,WC455,CGD PAINTING C3,3015,3000
63,WC753,CGD PAINTING GROUP C1,WC456,CGD PAINTING C4,3015,3000
64,WC756,CGD PACKING LINE 1,WC271,CGD PACKING 1,3016,3000
65,WC756,CGD PACKING LINE 1,WC272,CGD PACKING 2,3016,3000
66,WC757,CGD PACKING LINE 2,WC273,CGD PACKING 3,3016,3000
67,WC774,SANDING GROUP,WC098,CG C Sanding Komponen Dining,2004,2000
68,WC774,SANDING GROUP,WC101,CG C Sanding Komponen Bed,2004,2000
69,WC767,LIFTER TOP,WC099,LIFTER TOP 1,2004,2000
70,WC767,LIFTER TOP,WC474,LIFTER TOP 2,2004,2000
71,WC768,LIFTER BED,WC102,LIFTER BED 1,2004,2000
72,WC768,LIFTER BED,WC477,LIFTER BED 2,2004,2000
73,WC777,CNC KITAKO GROUP,WC123,CNC CARVING KITAKO HS-10 MP.0507,2010,2000
74,WC777,CNC KITAKO GROUP,WC125,CNC CARVING LOW HEADKITAKO MP.0459,2010,2000
75,WC777,CNC KITAKO GROUP,WC126,CNC 3 AXIS HEIAN MP.0600,2010,2000
76,WC777,CNC KITAKO GROUP,WC127,CNC TWISTER 200 MK.0009,2010,2000
77,WC777,CNC KITAKO GROUP,WC128,CNC 5AXIS BALESTRINI IDEA,2010,2000
78,WC129,CHAIR SANDER COMPONEN,WC814,CHAIR SANDING KOMP 1,2011,2000
79,WC129,CHAIR SANDER COMPONEN,WC815,CHAIR SANDING KOMP 2,2011,2000
80,WC129,CHAIR SANDER COMPONEN,WC816,CHAIR SANDING KOMP 3,2011,2000
81,WC129,CHAIR SANDER COMPONEN,WC817,CHAIR SANDING KOMP 4,2011,2000
82,WC130,CHAIR SUB ASSY,WC810,CHAIR SUB ASSY  1,2011,2000
83,WC130,CHAIR SUB ASSY,WC811,CHAIR SUB ASSY  2,2011,2000
84,WC131,CHAIR ASSEMBLY BODY,WC812,CHAIR ASSEMBLY BODY 1,2011,2000
85,WC131,CHAIR ASSEMBLY BODY,WC813,CHAIR ASSEMBLY BODY 2,2011,2000
86,WC759,PAINTING CHAIR GENERAL,WC483,PAINTING CHAIR A1,2012,2000
87,WC759,PAINTING CHAIR GENERAL,WC484,PAINTING CHAIR A2,2012,2000
88,WC759,PAINTING CHAIR GENERAL,WC485,PAINTING CHAIR A3,2012,2000
89,WC782,PAINTING metal GENERAL,WC486,PAINTING METAL 1,2012,2000
90,WC782,PAINTING metal GENERAL,WC487,PAINTING METAL 2,2012,2000
91,WC782,PAINTING metal GENERAL,WC488,PAINTING METAL 3,2012,2000
92,WC782,PAINTING metal GENERAL,WC489,PAINTING METAL 4,2012,2000
93,WC782,PAINTING metal GENERAL,WC490,PAINTING METAL 5,2012,2000
94,WC782,PAINTING metal GENERAL,WC491,PACKING Chair,2013,2000
95,WC791,Proses Bleaching,WC792,Proses Bleaching 1,2011,2000
96,WC791,Proses Bleaching,WC793,Proses Bleaching 2,2011,2000
97,WC791,Proses Bleaching,WC794,Proses Bleaching 3,2011,2000
98,WC791,Proses Bleaching,WC860,Proses Bleaching 4,2011,2000
99,WC791,Proses Bleaching,WC861,Proses Bleaching 5,2011,2000
100,WC791,Proses Bleaching,WC868,Sanding Bleaching,2011,2000
101,WC408,SANDER KOMPONEN CASE GOOD A,WC823,SANDER KOMPONEN CASE GOOD 1,2002,2000
102,WC408,SANDER KOMPONEN CASE GOOD A,WC824,SANDER KOMPONEN CASE GOOD 2,2002,2000
103,WC408,SANDER KOMPONEN CASE GOOD A,WC825,SANDER KOMPONEN CASE GOOD 3,2002,2000
104,WC408,SANDER KOMPONEN CASE GOOD A,WC826,SANDER KOMPONEN CASE GOOD 4,2002,2000
105,WC401,SANDER KOMPONEN CASE GOOD B,WC827,SANDER KOMPONEN CASE GOOD B1,2002,2000
106,WC401,SANDER KOMPONEN CASE GOOD B,WC828,SANDER KOMPONEN CASE GOOD B2,2002,2000
107,WC401,SANDER KOMPONEN CASE GOOD B,WC829,SANDER KOMPONEN CASE GOOD B3,2002,2000
108,WC401,SANDER KOMPONEN CASE GOOD B,WC830,SANDER KOMPONEN CASE GOOD B4,2002,2000
109,WC401,SANDER KOMPONEN CASE GOOD B,WC409,CASE GOOD  SUB ASSY A,2002,2000
110,WC401,SANDER KOMPONEN CASE GOOD B,WC410,CASE GOOD  SUB ASSY B,2002,2000
111,WC401,SANDER KOMPONEN CASE GOOD B,WC411,CASE GOOD  ASSEMBLY BODY A,2002,2000
112,WC401,SANDER KOMPONEN CASE GOOD B,WC412,CASE GOOD  ASSEMBLY BODY B,2002,2000
113,WC763,CG LIFTER EA GROUP 1,WC493,CASE GOOD D LIFTER A1,2002,2000
114,WC763,CG LIFTER EA GROUP 1,WC494,CASE GOOD D LIFTER A2,2002,2000
115,WC763,CG LIFTER EA GROUP 1,WC495,CASE GOOD D LIFTER A3,2002,2000
116,WC763,CG LIFTER EA GROUP 1,WC496,CASE GOOD D LIFTER A4,2002,2000
117,WC763,CG LIFTER EA GROUP 1,WC497,CASE GOOD D LIFTER A5,2002,2000
118,WC763,CG LIFTER EA GROUP 1,WC498,CASE GOOD D LIFTER A6,2002,2000
119,WC764,CG LIFTER EA GROUP 2,WC499,CASE GOOD D LIFTER A7,2002,2000
120,WC764,CG LIFTER EA GROUP 2,WC500,CASE GOOD D LIFTER A8,2002,2000
121,WC764,CG LIFTER EA GROUP 2,WC501,CASE GOOD D LIFTER A9,2002,2000
122,WC764,CG LIFTER EA GROUP 2,WC502,CASE GOOD D LIFTER A10,2002,2000
123,WC764,CG LIFTER EA GROUP 2,WC503,CASE GOOD D LIFTER A11,2002,2000
124,WC764,CG LIFTER EA GROUP 2,WC504,CASE GOOD D LIFTER A12,2002,2000
125,WC765,CG LIFTER CB GROUP 1,WC505,CASE GOOD D LIFTER B1,2002,2000
126,WC765,CG LIFTER CB GROUP 1,WC506,CASE GOOD D LIFTER B2,2002,2000
127,WC765,CG LIFTER CB GROUP 1,WC507,CASE GOOD D LIFTER B3,2002,2000
128,WC765,CG LIFTER CB GROUP 1,WC508,CASE GOOD D LIFTER B4,2002,2000
129,WC765,CG LIFTER CB GROUP 1,WC509,CASE GOOD D LIFTER B5,2002,2000
130,WC765,CG LIFTER CB GROUP 1,WC510,CASE GOOD D LIFTER B6,2002,2000
131,WC766,CG LIFTER CB GROUP 2,WC511,CASE GOOD D LIFTER B7,2002,2000
132,WC766,CG LIFTER CB GROUP 2,WC512,CASE GOOD D LIFTER B8,2002,2000
133,WC766,CG LIFTER CB GROUP 2,WC513,CASE GOOD D LIFTER B9,2002,2000
134,WC766,CG LIFTER CB GROUP 2,WC514,CASE GOOD D LIFTER B10,2002,2000
135,WC766,CG LIFTER CB GROUP 2,WC515,CASE GOOD D LIFTER B11,2002,2000
136,WC766,CG LIFTER CB GROUP 2,WC516,CASE GOOD D LIFTER B12,2002,2000
137,WC770,CG SPRAYBOTH  A,WC580,Painting CG SBY Sprayboth A1,2007,2000
138,WC770,CG SPRAYBOTH  A,WC581,Painting CG SBY Sprayboth A2,2007,2000
139,WC770,CG SPRAYBOTH  A,WC582,Painting CG SBY Sprayboth A3,2007,2000
140,WC770,CG SPRAYBOTH  A,WC583,Painting CG SBY Sprayboth A4,2007,2000
141,WC770,CG SPRAYBOTH  A,WC584,Painting CG SBY Sprayboth A5,2007,2000
142,WC770,CG SPRAYBOTH  A,WC687,Painting CG SBY Sprayboth A6,2007,2000
143,WC770,CG SPRAYBOTH  A,WC804,Painting CG SBY Sprayboth A7,2007,2000
144,WC770,CG SPRAYBOTH  A,WC805,Painting CG SBY Sprayboth A8,2007,2000
145,WC770,CG SPRAYBOTH  A,WC854,Painting CG SBY Sprayboth A9,2007,2000
146,WC771,CG SPRAYBOTH  B,WC688,Painting CG SBY Sprayboth B1,2007,2000
147,WC771,CG SPRAYBOTH  B,WC689,Painting CG SBY Sprayboth B2,2007,2000
148,WC771,CG SPRAYBOTH  B,WC690,Painting CG SBY Sprayboth B3,2007,2000
149,WC771,CG SPRAYBOTH  B,WC691,Painting CG SBY Sprayboth B4,2007,2000
150,WC771,CG SPRAYBOTH  B,WC806,Painting CG SBY Sprayboth B5,2007,2000
151,WC771,CG SPRAYBOTH  B,WC807,Painting CG SBY Sprayboth B6,2007,2000
152,WC771,CG SPRAYBOTH  B,WC808,Painting CG SBY Sprayboth B7,2007,2000
153,WC771,CG SPRAYBOTH  B,WC809,Painting CG SBY Sprayboth B8,2007,2000
154,WC771,CG SPRAYBOTH  B,WC855,Painting CG SBY Sprayboth B9,2007,2000
155,WC834,CG SPRAYBOTH  C,WC835,Painting CG SBY Sprayboth C1,2007,2000
156,WC834,CG SPRAYBOTH  C,WC836,Painting CG SBY Sprayboth C2,2007,2000
157,WC834,CG SPRAYBOTH  C,WC837,Painting CG SBY Sprayboth C3,2007,2000
158,WC834,CG SPRAYBOTH  C,WC838,Painting CG SBY Sprayboth C4,2007,2000
159,WC834,CG SPRAYBOTH  C,WC839,Painting CG SBY Sprayboth C5,2007,2000
160,WC834,CG SPRAYBOTH  C,WC840,Painting CG SBY Sprayboth C6,2007,2000
161,WC834,CG SPRAYBOTH  C,WC841,Painting CG SBY Sprayboth C7,2007,2000
162,WC834,CG SPRAYBOTH  C,WC842,Painting CG SBY Sprayboth C8,2007,2000
163,WC834,CG SPRAYBOTH  C,WC856,Painting CG SBY Sprayboth C9,2007,2000
164,WC843,CG SPRAYBOTH  D,WC844,Painting CG SBY Sprayboth D1,2007,2000
165,WC843,CG SPRAYBOTH  D,WC845,Painting CG SBY Sprayboth D2,2007,2000
166,WC843,CG SPRAYBOTH  D,WC846,Painting CG SBY Sprayboth D3,2007,2000
167,WC843,CG SPRAYBOTH  D,WC847,Painting METAL SBY Sprayboth D4,2007,2000
168,WC843,CG SPRAYBOTH  D,WC848,Painting METAL SBY Sprayboth D5,2007,2000
