No,Plant,Kode Laravel,Deskripsi,WC Asal,WC Kompatible,WC Kompatible With Condition
1,1001,1003,MP. Cutting 1 KMI,WC024,WC025,
2,1001,1001,MLD UNIMATE WW,WC819,WC820,
3,1001,1001,MLD UNIMATE WW,WC819,WC821,
4,1001,1001,MLD UNIMATE WW,WC819,WC822,
5,1000,1011,KILN DRY CHAMBER 1,WC009,WC010,
6,1000,1011,KILN DRY CHAMBER 1,WC009,WC011,
7,1000,1011,KILN DRY CHAMBER 1,WC009,WC012,
8,1000,1011,KILN DRY CHAMBER 1,WC009,WC013,
9,1000,1011,KILN DRY CHAMBER 1,WC009,WC014,
10,1000,1011,KILN DRY CHAMBER 1,WC009,WC015,
11,1000,1011,KILN DRY CHAMBER 1,WC009,WC016,
12,1000,1004,Single Rip 1 KMI & Cros Cut,WC033,WC034,
13,1000,1004,Single Rip 1 KMI & Cros Cut,WC033,WC035,
14,1000,1004,Single Rip 1 KMI & Cros Cut,WC033,WC833,
15,1000,1005,MOULDER WEINIG POWERMAT 1000/012 - 7 SPI,WC040,WC041,
16,1000,1005,MOULDER WEINIG POWERMAT 1000/012 - 7 SPI,WC040,WC042,
17,1000,1005,MOULDER WEINIG POWERMAT 1000/012 - 7 SPI,WC040,WC043,
18,1000,1005,MOULDER WEINIG POWERMAT 1000/012 - 7 SPI,WC040,WC044,
19,1000,1005,MOULDER WEINIG POWERMAT 1000/012 - 7 SPI,WC040,WC045,
20,1000,1005,MOULDER WEINIG POWERMAT 1000/012 - 7 SPI,WC040,WC046,
21,1000,1005,MOULDER WEINIG POWERMAT 1000/012 - 7 SPI,WC040,WC047,
22,2000,1006,SCHEELING 1 KMI,WC049,WC050,
23,2000,1007,KUPER 1,WC054,WC055,
24,2000,1008,MANUAL MOTIF CASEGOOD KMI 2,WC058,WC059,
25,2000,1008,MANUAL MOTIF CASEGOOD KMI 2,WC058,WC585,
26,2000,1012,CASE GOOD B PROSES MANUAL 1,WC106,WC831,
27,2000,2011,WELDING MANUAL ( LASER ),WC785,WC787,
28,2000,2015,CNC BACCI MASTER FLAT 1865,WC293,WC082,
29,2000,2004,PALANG KUDA TOP GROUP,WC767,WC768,
30,2000,2014,MP UPHOLSTERY 1,WC104,WC686,
31,2000,2009,MZ 1 MP0494,WC114,WC115,
32,2000,2019,PROSES SUPORT FOAM 1,WC776,WC832,
33,2000,2005,Edge Banding A,WC169,WC170,
34,2000,2005,EBD NHF A,WC404,WC405,
35,2000,2005,EBD COOL PRESS A,WC406,WC407,
36,2000,2002,SANDER KOMPONEN CASE GOOD A,WC408,WC401,
37,2000,2002,CASE GOOD SUB ASSY A,WC409,WC410,
38,2000,2002,CASE GOOD ASSEMBLY BODY A,WC411,WC412,
39,2000,2002,CG LIFTER CB GROUP 1,WC763,WC764,
40,2000,2002,CG LIFTER CB GROUP 1,WC763,WC765,
41,2000,2002,CG LIFTER CB GROUP 1,WC763,WC766,
42,2000,2007,PTG SECOND STEP GROO 2,WC772,WC773,
43,2000,2007,CG SPRAYBOTH GROUP A,WC770,WC771,
44,2000,2008,PACKING CASE GOODS CB GROUP 1,WC760,WC775,
45,2000,2008,PACKING CASE GOODS CB GROUP 1,WC760,WC761,
46,2000,2008,PACKING CASE GOODS CB GROUP 1,WC760,WC762,
47,2000,2026,Machining RND A,WC199,WC526,
48,2000,2027,Engineering Icon 1 Mansur,WC181,WC186,
49,2000,2027,Engineering Icon 1 Mansur,WC181,WC188,
50,2000,2027,Engineering Icon 1 Mansur,WC181,WC189,
51,2000,2027,Engineering Icon 1 Mansur,WC181,WC191,
52,2000,2027,Engineering Icon 1 Mansur,WC181,WC194,
53,2000,2027,Engineering Icon 1 Mansur,WC181,WC197,
54,2000,2027,Engineering Icon 1 Mansur,WC181,WC198,
55,2000,2027,Engineering Icon 1 Mansur,WC181,WC196,
56,2000,2027,Engineering Icon 1 Mansur,WC181,WC195,
57,2000,2003,CNC Ares 4818,WC096,WC091,
58,2000,2003,CNC Ares 4818,WC096,WC097,
59,2000,,CNC ROUTER (9) HEIAN ZR442PE MP.0342,WC091,WC094,
60,2000,,CNC ROUTER HEIAN ER-43 1P HEIAN ER-431P MP.0550,WC095,WC094,
61,2000,,CNC ROUTER HEIAN NC-431P MP.0602,WC092,WC095,
62,2000,,CNC 5 AXIS BALESTRINI POWER MP.0527,WC120,WC121,
63,2000,,CNC 5 AXIS BALESTRINI POWER MP.0527,WC120,WC127,
64,2000,,CNC 5 AXIS BALESTRINI POWER MP.0527,WC120,WC128,
65,2000,,CNC 3 AXIS HEIAN MP.0592,WC124,WC126,
66,2000,,CNC KITAKO MFG 1152 ( CNC KITAKO ),WC147,WC148,
67,2000,,CNC ROUTER HEIAN ER 431P ( CNC ER431 ),WC149,WC150,
68,2000,,CNC ROUTER HEIAN ER 431P ( CNC ER431 ),WC149,WC153,
69,2000,,CNC ROUTER HEIAN NC. 362 P ( CNC 18 ),WC157,WC158,
70,2000,,CNC 5 AXIS CMS ARES MK.0002 ( ARES 4 ),WC159,WC161,
71,2000,,CNC 5 AXIS CMS ARES MK.0002 ( ARES 4 ),WC159,WC162,
72,2000,,CNC 5 AXIS CMS ARES MK.0002 ( ARES 4 ),WC159,WC163,
73,2000,,CNC 5 AXIS CMS ARES MK.0002 ( ARES 4 ),WC159,WC165,
74,2000,,CNC 5 AXIS CMS ARES MK.0002 ( ARES 4 ),WC159,WC166,
75,2000,,SUB ASSY MACHINING CG A,WC168,WC720,
76,1001,,MP. Cutting 2  KMI,WC025,WC024,
77,1001,,MLD HIDROMATE WW,WC820,WC819,
78,1001,,MLD POWERMATE WW,WC821,WC819,
79,1001,,MLD PROFIMATE WW,WC822,WC819,
80,1000,,KILN DRY CHAMBER 2,WC010,WC009,
81,1000,,KILN DRY CHAMBER 3,WC011,WC009,
82,1000,,KILN DRY CHAMBER 4,WC012,WC009,
83,1000,,KILN DRY CHAMBER 5,WC013,WC009,
84,1000,,KILN DRY CHAMBER 6,WC014,WC009,
85,1000,,KILN DRY CHAMBER 7,WC015,WC009,
86,1000,,KILN DRY CHAMBER 8,WC016,WC009,
87,1001,,Single Rip 2  KMI,WC034,WC033,
88,1001,,Single Rip 3 ( Laminating ) KMI,WC035,WC033,
89,1000,,MOULDING POWERMATT 2000 KMI,WC041,WC040,
90,1000,,MOULDING POWERMATT 2000 XL,WC042,WC040,
91,1000,,MOULDING U-300 KMI,WC043,WC040,
92,1000,,MANUAL DOWEL&RAIL KMI 1,WC044,WC040,
93,1000,,MOULDING UNIMAT 23 MP.0053,WC045,WC040,
94,1000,,MOULDING UNIMAT 22 E,WC046,WC040,
95,1000,,MOULDING UNIMAT 23 E,WC047,WC040,
96,1000,,SCHEELING 2 (FH4330)  KMI,WC050,WC049,
97,1000,,KUPER 2,WC055,WC054,
98,1000,,MANUAL MOTIF LINE C,WC059,WC058,
99,1000,,MANUAL MOTIF KMI 3,WC585,WC058,
100,1000,,CASE GOOD B PROSES MANUAL 2,WC831,WC106,
101,2000,,WELDING MANUAL ( LAS TICK ),WC787,WC785,
102,2000,,CNC BACCI MASTER FLAT MAST/02 DOOR&GG,WC082,WC293,
103,2000,,PALANG KUDA HB/FB GROUP,WC768,WC767,
104,2000,,MP UPHOLSTERY 2,WC686,WC104,
105,2000,,MZ 2 MP0559,WC115,WC114,
106,2000,,PROSES SUPORT FOAM 2,WC832,WC776,
107,2000,,Edge Banding B,WC170,WC169,
108,2000,,EBD NHF B,WC405,WC404,
109,2000,,EBD COOL PRESS B,WC407,WC406,
