No,Kode Workcenter,Deskripsi,WERKSX,WERKS
,WC431,CGD ASSEMBLY B2,3014,3000
,WC432,CGD ASSEMBLY B3,3014,3000
,WC433,CGD ASSEMBLY B4,3014,3000
,WC748,CGD ASSY GROUP B2,3014,3000
,WC434,CGD ASSEMBLY B5,3014,3000
,WC435,CGD ASSEMBLY B6,3014,3000
,WC436,CGD ASSEMBLY B7,3014,3000
,WC437,CGD ASSEMBLY B8,3014,3000
,WC749,CGD ASSY GROUP B3,3014,3000
,WC438,CGD ASSEMBLY B9,3014,3000
,WC439,CGD ASSEMBLY B10,3014,3000
,WC440,CGD ASSEMBLY B11,3014,3000
,WC441,CGD ASSEMBLY B12,3014,3000
,WC750,CGD PAINTING GROUP A1,3015,3000
,WC261,CGD PAINTING A1,3015,3000
,WC262,CGD PAINTING A2,3015,3000
,WC263,CGD PAINTING A3,3015,3000
,WC265,CGD PAINTING A5,3015,3000
,WC751,CGD PAINTING GROUP A2,3015,3000
,WC266,CGD PAINTING A6,3015,3000
,WC267,CGD PAINTING A7,3015,3000
,WC268,CGD PAINTING A8,3015,3000
,WC269,CGD PAINTING A9,3015,3000
,WC752,CGD PAINTING GROUP B1,3015,3000
,WC445,CGD PAINTING B1,3015,3000
,WC446,CGD PAINTING B2,3015,3000
,WC447,CGD PAINTING B3,3015,3000
,WC264,CGD PAINTING A4,3015,3000
,WC753,CGD PAINTING GROUP C1,3015,3000
,WC444,CGD PAINTING A13,3015,3000
,WC459,CGD PAINTING C7,3015,3000
,WC460,CGD PAINTING C8,3015,3000
,WC461,CGD PAINTING C9,3015,3000
,WC462,CGD PAINTING C10,3015,3000
,WC754,CGD PAINTING GROUP D1,3015,3000
,WC463,CGD PAINTING D1,3015,3000
,WC464,CGD PAINTING D2,3015,3000
,WC465,CGD PAINTING D3,3015,3000
,WC466,CGD PAINTING D4,3015,3000
,WC755,CGD PAINTING GROUP D2,3015,3000
,WC467,CGD PAINTING D5,3015,3000
,WC468,CGD PAINTING D6,3015,3000
,WC469,CGD PAINTING D7,3015,3000
,WC756,CGD PACKING LINE 1,3016,3000
,WC271,CGD PACKING 1,3016,3000
,WC272,CGD PACKING 2,3016,3000
,WC757,CGD PACKING LINE 2,3016,3000
,WC273,CGD PACKING 3,3016,3000
,WC274,CGD PACKING 4,3016,3000
,WC275,CGD PACKING 5,3016,3000
,WC742,SG ASSY GROUP 1,3018,3000
,WC390,SG ASSY A1,3018,3000
,WC391,SG ASSY A2,3018,3000
,WC743,SG ASSY GROUP 2,3018,3000
,WC554,SG ASSY A5,3018,3000
,WC553,SG ASSY A4,3018,3000
,WC392,SG ASSY A3,3018,3000
,WC341,SG BLEACHING KMI 3,3019,3000
