id,wc_induk,nama_wc_induk,workcenter,nama_workcenter,kode_laravel,plant,created_at,updated_at
44,WC752,"CGD PAINTING GROUP B1",WC450,"CGD PAINTING B6",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
45,WC752,"CGD PAINTING GROUP B1",WC451,"CGD PAINTING B7",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
46,WC752,"CGD PAINTING GROUP B1",WC452,"CGD PAINTING B8",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
47,WC752,"CGD PAINTING GROUP B1",WC863,"CGD PAINTING B9",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
48,WC752,"CGD PAINTING GROUP B1",WC864,"CGD PAINTING B10",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
54,WC753,"CGD PAINTING GROUP C1",WC457,"CGD PAINTING C5",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
55,WC753,"CGD PAINTING GROUP C1",WC458,"CGD PAINTING C6",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
56,WC753,"CGD PAINTING GROUP C1",WC459,"CGD PAINTING C7",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
57,WC753,"CGD PAINTING GROUP C1",WC460,"CGD PAINTING C8",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
58,WC753,"CGD PAINTING GROUP C1",WC461,"CGD PAINTING C9",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
59,WC753,"CGD PAINTING GROUP C1",WC462,"CGD PAINTING C10",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
60,WC753,"CGD PAINTING GROUP C1",WC453,"CGD PAINTING C1",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
61,WC753,"CGD PAINTING GROUP C1",WC454,"CGD PAINTING C2",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
62,WC753,"CGD PAINTING GROUP C1",WC455,"CGD PAINTING C3",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
63,WC753,"CGD PAINTING GROUP C1",WC456,"CGD PAINTING C4",3015,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
64,WC756,"CGD PACKING LINE 1",WC271,"CGD PACKING 1",3016,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
65,WC756,"CGD PACKING LINE 1",WC272,"CGD PACKING 2",3016,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
66,WC757,"CGD PACKING LINE 2",WC273,"CGD PACKING 3",3016,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
67,WC774,"SANDING GROUP",WC098,"CG C Sanding Komponen Dining",2004,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
68,WC774,"SANDING GROUP",WC101,"CG C Sanding Komponen Bed",2004,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
69,WC767,"LIFTER TOP",WC099,"LIFTER TOP 1",2004,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
70,WC767,"LIFTER TOP",WC474,"LIFTER TOP 2",2004,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
71,WC768,"LIFTER BED",WC102,"LIFTER BED 1",2004,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
72,WC768,"LIFTER BED",WC477,"LIFTER BED 2",2004,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
73,WC777,"CNC KITAKO GROUP",WC123,"CNC CARVING KITAKO HS-10 MP.0507",2010,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
74,WC777,"CNC KITAKO GROUP",WC125,"CNC CARVING LOW HEADKITAKO MP.0459",2010,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
78,WC129,"CHAIR SANDER COMPONEN",WC814,"CHAIR SANDING KOMP 1",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
79,WC129,"CHAIR SANDER COMPONEN",WC815,"CHAIR SANDING KOMP 2",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
80,WC129,"CHAIR SANDER COMPONEN",WC816,"CHAIR SANDING KOMP 3",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
81,WC129,"CHAIR SANDER COMPONEN",WC817,"CHAIR SANDING KOMP 4",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
82,WC130,"CHAIR SUB ASSY",WC810,"CHAIR SUB ASSY  1",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
83,WC130,"CHAIR SUB ASSY",WC811,"CHAIR SUB ASSY  2",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
84,WC131,"CHAIR ASSEMBLY BODY",WC812,"CHAIR ASSEMBLY BODY 1",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
85,WC131,"CHAIR ASSEMBLY BODY",WC813,"CHAIR ASSEMBLY BODY 2",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
86,WC759,"PAINTING CHAIR GENERAL",WC483,"PAINTING CHAIR A1",2012,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
87,WC759,"PAINTING CHAIR GENERAL",WC484,"PAINTING CHAIR A2",2012,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
88,WC759,"PAINTING CHAIR GENERAL",WC485,"PAINTING CHAIR A3",2012,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
89,WC782,"PAINTING metal GENERAL",WC486,"PAINTING CHAIR A4",2024,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
90,WC782,"PAINTING metal GENERAL",WC487,"PAINTING METAL 1",2024,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
91,WC782,"PAINTING metal GENERAL",WC488,"PAINTING METAL 2",2024,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
93,WC782,"PAINTING metal GENERAL",WC490,"PAINTING METAL 4",2024,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
94,WC782,"PAINTING METAL GENERAL",WC486,"PAINTING CHAIR A4",2024,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
95,WC791,"Proses Bleaching",WC792,"Proses Bleaching 1",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
96,WC791,"Proses Bleaching",WC793,"Proses Bleaching 2",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
97,WC791,"Proses Bleaching",WC794,"Proses Bleaching 3",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
98,WC791,"Proses Bleaching",WC860,"Proses Bleaching 4",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
99,WC791,"Proses Bleaching",WC861,"Proses Bleaching 5",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
100,WC791,"Proses Bleaching",WC868,"Sanding Bleaching",2011,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
101,WC408,"SANDER KOMPONEN CASE GOOD A",WC823,"SANDER KOMPONEN CASE GOOD 1",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
102,WC408,"SANDER KOMPONEN CASE GOOD A",WC824,"SANDER KOMPONEN CASE GOOD 2",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
103,WC408,"SANDER KOMPONEN CASE GOOD A",WC825,"SANDER KOMPONEN CASE GOOD 3",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
104,WC408,"SANDER KOMPONEN CASE GOOD A",WC826,"SANDER KOMPONEN CASE GOOD 4",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
105,WC401,"SANDER KOMPONEN UNIT D",WC827,"SANDER KOMPONEN UNIT D5",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
106,WC401,"SANDER KOMPONEN UNIT D",WC828,"SANDER KOMPONEN UNIT D6",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
107,WC401,"SANDER KOMPONEN UNIT D",WC829,"SANDER KOMPONEN UNIT D7",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
108,WC401,"SANDER KOMPONEN UNIT D",WC830,"SANDER KOMPONEN UNIT D8",2002,2000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
