No,WC Asal,WC Tujuan,Status,Plant
167,WC215,WC216,Compatible,2000
168,WC217,WC218,Compatible,2000
169,WC219,WC220,Compatible,2000
170,WC221,WC222,Compatible,2000
171,WC223,WC224,Compatible,2000
172,WC225,WC226,Compatible,2000
173,WC227,WC228,Compatible,2000
174,WC229,WC230,Compatible,2000
175,WC557,WC558,Compatible,2000
176,WC559,WC560,Compatible,2000
177,WC561,WC562,Compatible,2000
178,WC563,WC564,Compatible,2000
179,WC565,WC566,Compatible,2000
180,WC567,WC568,Compatible,2000
181,WC569,WC570,Compatible,2000
182,WC571,WC572,Compatible,2000
183,WC573,WC574,Compatible,2000
184,WC575,WC576,Compatible,2000
185,WC577,WC578,Compatible,2000
186,WC579,WC580,Compatible,2000
187,WC581,WC582,Compatible,2000
188,WC583,WC584,Compatible,2000
189,WC589,WC590,Compatible,2000
190,WC591,WC592,Compatible,2000
191,WC593,WC594,Compatible,2000
192,WC595,WC596,Compatible,2000
193,WC597,WC598,Compatible,2000
194,WC599,WC600,Compatible,2000
195,WC601,WC602,Compatible,2000
196,WC603,WC604,Compatible,2000
197,WC605,WC606,Compatible,2000
198,WC607,WC608,Compatible,2000
199,WC609,WC610,Compatible,2000
200,WC611,WC612,Compatible,2000
201,WC613,WC614,Compatible,2000
202,WC615,WC616,Compatible,2000
203,WC617,WC618,Compatible,2000
204,WC619,WC620,Compatible,2000
205,WC621,WC622,Compatible,2000
206,WC623,WC624,Compatible,2000
207,WC625,WC626,Compatible,2000
208,WC627,WC628,Compatible,2000
209,WC629,WC630,Compatible,2000
210,WC631,WC632,Compatible,2000
211,WC633,WC634,Compatible,2000
212,WC635,WC636,Compatible,2000
213,WC637,WC638,Compatible,2000
214,WC639,WC640,Compatible,2000
215,WC641,WC642,Compatible,2000
216,WC643,WC644,Compatible,2000
217,WC645,WC646,Compatible,2000
218,WC647,WC648,Compatible,2000
219,WC649,WC650,Compatible,2000
220,WC651,WC652,Compatible,2000
221,WC653,WC654,Compatible,2000
222,WC655,WC656,Compatible,2000
223,WC657,WC658,Compatible,2000
224,WC659,WC660,Compatible,2000
225,WC661,WC662,Compatible,2000
226,WC663,WC664,Compatible,2000
227,WC665,WC666,Compatible,2000
228,WC667,WC668,Compatible,2000
229,WC669,WC670,Compatible,2000
230,WC671,WC672,Compatible,2000
231,WC673,WC674,Compatible,2000
232,WC675,WC676,Compatible,2000
233,WC677,WC678,Compatible,2000
234,WC679,WC680,Compatible,2000
235,WC681,WC682,Compatible,2000
236,WC683,WC684,Compatible,2000
237,WC725,WC726,Compatible,2000
238,WC727,WC728,Compatible,2000
239,WC729,WC730,Compatible,2000
240,WC731,WC732,Compatible,2000
241,WC733,WC734,Compatible,2000
242,WC735,WC736,Compatible,2000
243,WC737,WC738,Compatible,2000
244,WC739,WC740,Compatible,2000
245,WC741,WC742,Compatible,2000
246,WC788,WC789,Compatible,2000
247,WC790,WC791,Compatible,2000
248,WC792,WC793,Compatible,2000
249,WC794,WC795,Compatible,2000
250,WC796,WC797,Compatible,2000
251,WC798,WC799,Compatible,2000
252,WC800,WC801,Compatible,2000
253,WC802,WC803,Compatible,2000
254,WC804,WC805,Compatible,2000
255,WC806,WC807,Compatible,2000
256,WC808,WC809,Compatible,2000
257,WC810,WC811,Compatible,2000
258,WC812,WC813,Compatible,2000
259,WC814,WC815,Compatible,2000
260,WC816,WC817,Compatible,2000
261,WC818,WC823,Compatible,2000
262,WC824,WC825,Compatible,2000
263,WC826,WC827,Compatible,2000
264,WC828,WC829,Compatible,2000
265,WC830,WC834,Compatible,2000
266,WC835,WC836,Compatible,2000
267,WC837,WC838,Compatible,2000
268,WC839,WC840,Compatible,2000
269,WC841,WC842,Compatible,2000
270,WC843,WC844,Compatible,2000
271,WC845,WC846,Compatible,2000
272,WC847,WC848,Compatible,2000
273,WC849,WC850,Compatible,2000
